IP Address,Version,Status,Latency (ms),Timestamp
103.21.244.1,IPv4,Success,12,2025-11-18 18:32:32
103.22.200.1,IPv4,Success,58,2025-11-18 18:32:32
103.31.4.1,IPv4,Success,294,2025-11-18 18:32:32
104.16.0.1,IPv4,Success,11,2025-11-18 18:32:32
104.24.0.1,IPv4,Success,10,2025-11-18 18:32:32
108.162.192.1,IPv4,Success,12,2025-11-18 18:32:32
131.0.72.1,IPv4,Success,N/A,2025-11-18 18:32:32
141.101.64.1,IPv4,Fail,N/A,2025-11-18 18:32:32
162.158.0.1,IPv4,Success,147,2025-11-18 18:32:32
172.64.0.1,IPv4,Fail,N/A,2025-11-18 18:32:32
173.245.48.1,IPv4,Fail,N/A,2025-11-18 18:32:32
188.114.96.1,IPv4,Success,11,2025-11-18 18:32:32
190.93.240.1,IPv4,Fail,N/A,2025-11-18 18:32:32
197.234.240.1,IPv4,Success,336,2025-11-18 18:32:32
198.41.128.1,IPv4,Fail,N/A,2025-11-18 18:32:32
2400:cb00::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2606:4700::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2803:f800::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2405:b500::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2405:8100::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2a06:98c0::1,IPv6,Fail,N/A,2025-11-18 18:32:32
2c0f:f248::1,IPv6,Fail,N/A,2025-11-18 18:32:32
